gene_symbol	legacy_symbol	hgnc_approved_symbol	scored_symbol_in_current_analysis	source_category	evidence_tier	evidence_note	primary_score_member	ecm_excluded_score_member	structural_ecm	lock_status	lock_date	detected_GSE135251	detected_GSE130970	detected_GSE162694	detected_GSE126848	detected_GSE167523	hgnc_status	hgnc_audit_note	alias_aware_detected_GSE135251	alias_aware_detected_GSE130970	alias_aware_detected_GSE162694	alias_aware_detected_GSE126848	alias_aware_detected_GSE167523
ITGAV		ITGAV	ITGAV	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGB1		ITGB1	ITGB1	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGB3		ITGB3	ITGB3	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PARVA		PARVA	PARVA	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PARVB		PARVB	PARVB	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PTK2		PTK2	PTK2	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SRC		SRC	SRC	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
CDC42		CDC42	CDC42	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LATS1		LATS1	LATS1	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LATS2		LATS2	LATS2	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LIMD1		LIMD1	LIMD1	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LMNA		LMNA	LMNA	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
MRTFA		MRTFA	MRTFA	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	False	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	False
MRTFB		MRTFB	MRTFB	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	False	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	False
RAC1		RAC1	RAC1	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SRF		SRF	SRF	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
